country,region,type,regulator number,name,producer,application method,formulation,min rate,max rate,rate UOM,min days between applications,REI (h),PHI (d),AI1,[AI1],[AI1]UOM,AI1 EIQ,AI2,[AI2],[AI2]UOM,AI2 EIQ,AI3,[AI3],[AI3]UOM,AI3 EIQ,AI4,[AI4],[AI4]UOM,AI4 EIQ
United States,,Field Insecticide,100-898,AGRI-MEK 0.15 EC MITICIDE/INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,100-1351,AGRI-MEK SC MITICIDE/INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,1.75,3.5,fl oz/acre,7,12,14,Abamectin,0.7,lb/gal,34.68333333,,,,,,,,,,,,
United States,Idaho,Field Insecticide,89118-10,AVERLAND FC,"Vive Crop Protection, Inc.",Foliar,Liquid,1.75,3.5,fl oz/acre,7,12,14,Abamectin,0.75,lb/gal,34.68333333,,,,,,,,,,,,
United States,Wisconsin,Field Insecticide,89118-10,AVERLAND FC,"Vive Crop Protection, Inc.",Foliar,Liquid,1.75,3.5,fl oz/acre,7,12,14,Abamectin,0.75,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,100-894,CLINCH ANT BAIT,Syngenta Crop Protection,Foliar,Dry,1,1,lb/acre,30,12,0,Abamectin,0.011,%,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,91234-51,ENTERIK .15LV,"Atticus, LLC",Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,91234-252,ENTERIK 0.7 SC,"Atticus, LLC",Foliar,Liquid,1.75,3.5,fl oz/acre,7,12,14,Abamectin,0.7,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,100-1154,EPI-MEK 0.15 EC MITICIDE/INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,34704-923,REAPER 0.15 EC,Loveland Products Inc.,Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,34704-1078,REAPER CLEARFORM,Loveland Products Inc.,Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,Maine,Field Insecticide,87290-36,WILLOWOOD ABAMECTIN 0.7SC,"WAGNER REGULATORY ASSOCIATES, INC.",Foliar,Liquid,1.75,3.5,fl oz/acre,7,12,14,Abamectin,0.7,lb/gal,34.68333333,,,,,,,,,,,,
United States,Idaho,Field Insecticide,87290-36,WILLOWOOD ABAMECTIN 0.7SC,"WAGNER REGULATORY ASSOCIATES, INC.",Foliar,Liquid,1.75,3.5,fl oz/acre,7,12,14,Abamectin,0.7,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,66222-264,CORMORAN,"MAKHTESHIM AGAN OF NORTH AMERICA, INC.",Foliar,Liquid,6,12,fl oz/acre,7,12,14,Acetamiprid,0.67,lb/gal,28.73333333,Novaluron,0.84,lb/gal,14.33333333,,,,,,,,
Canada,,Field Insecticide,33353,CORMORAN,Adama Agricultural Solutions Canada LTD.,Foliar,Liquid,440,750,ml/ha,7,12,7,Acetamiprid,80,g/L,28.73333333,Novaluron,100,g/L,14.33333333,,,,,,,,
Canada,,Field Insecticide,33298,ACETA 70 WP,Sharda Cropchem Limited,Foliar,Dry,40,86,g/ha,7,48,7,Acetamiprid,70,%,28.73333333,,,,,,,,,,,,
Canada,,Field Insecticide,34484,ASSAIL 30 SC,Nippon Soda Company,Foliar,Liquid,80,175,ml/ha,7,12,8,Acetamiprid,30,%,28.73333333,,,,,,,,,,,,
United States,,Field Insecticide,8033-36-70506,ASSAIL 30SG INSECTICIDE,"United Phosphorus, Inc.",Foliar,Dry,1.5,4,oz/acre,7,12,7,Acetamiprid,30,%,28.73333333,,,,,,,,,,,,
Canada,,Field Insecticide,27128,ASSAIL 70 WP,Nippon Soda Company,Foliar,Dry,40,86,g/ha,7,12,7,Acetamiprid,70,%,28.73333333,,,,,,,,,,,,
United States,,Biological,,BIODIGESTER,Tainio Biologicals,Adjuvant,Liquid,1.76,10,oz/acre,,,,Actrobacter Globiformis,99.99,%,,,,,,,,,,,,,
United States,,Biological,,SPECTRUM + MYCO,BFMS Biological Farm Management System,Adjuvant,Dry,5.5,5.5,oz/acre,,,,Actrobacter Globiformis,99.99,%,,,,,,,,,,,,,
United States,,Field Insecticide,7969-391,SEFINA INSCALIS INSECTICIDE,BASF Corporation,Foliar,Liquid,3,14,fl oz/acre,7,12,7,Afidopyropen,0.42,lb/gal,11.17,,,,,,,,,,,,
Canada,,Field Insecticide,33265,SEFINA INSECTICIDE,BASF Canada Inc.,Foliar,Liquid,0.2,1,l/ha,7,12,7,Afidopyropen,50,g/L,11.17,,,,,,,,,,,,
United States,,Biological,,PHYCOTERRA,Heliae Development LLC,Adjuvant,Liquid,1,1,pt/acre,,,,Algae,9,%,,,,,,,,,,,,,
United States,Idaho,Field Insecticide,7969-364,FASTAC CS,BASF Corporation,Foliar,Liquid,1.3,3.8,fl oz/acre,4,12,1,alpha-cypermethrin,0.83,lb/gal,26.66666667,,,,,,,,,,,,
United States,Maine,Field Insecticide,7969-364,FASTAC CS,BASF Corporation,Foliar,Liquid,1.3,3.8,fl oz/acre,4,12,1,alpha-cypermethrin,0.83,lb/gal,26.66666667,,,,,,,,,,,,
United States,Wisconsin,Field Insecticide,7969-364,FASTAC CS,BASF Corporation,Foliar,Liquid,1.3,3.8,fl oz/acre,4,12,1,alpha-cypermethrin,0.83,lb/gal,26.66666667,,,,,,,,,,,,
United States,,Field Fungicide,7969-302,ZAMPRO FUNGICIDE,BASF Corporation,Foliar,Liquid,11,14,fl oz/acre,5,12,4,Ametoctradin,2.5,lb/gal,16.66666667,Dimethomorph,1.88,lb/gal,14,,,,,,,,
Canada,,Field Fungicide,30321,ZAMPRO,BASF Canada Inc.,Foliar,Liquid,0.8,1,l/ha,5,12,4,Ametoctradin,300,g/L,16.66666667,Dimethomorph,225,g/L,14,,,,,,,,
United States,,Biological,,OP-8,Tainio Biologicals INC,Adjuvant,Dry,1,2,lb/acre,,,,Anthrobacter globiforms,99,%,,,,,,,,,,,,,
United States,,Field Insecticide,71908-1-10163,AZA-DIRECT,Gowan Company,Foliar,Liquid,5,57,fl oz/acre,5,4,0,Azadirachtin,0.0987,lb/gal,12.1,,,,,,,,,,,,
United States,,Field Insecticide,70051-9,NEEMIX 4.5,Certis USA LLC,Foliar,Liquid,4,16,fl oz/acre,7,4,0,Azadirachtin,0.39,lb/gal,12.1,,,,,,,,,,,,
United States,,Field Fungicide - 36inch Spacing,100-1480,ELATUS FUNGICIDE,Syngenta Crop Protection,Furrow,Dry,4.9,7.1,oz/acre,,12,,Azoxystrobin,3,lb/gal,26.92333333,Benzovindiflupyr,0.15,lb/gal,19.33333333,,,,,,,,
United States,,Field Fungicide - 34inch Spacing,100-1480,ELATUS FUNGICIDE,Syngenta Crop Protection,Furrow,Dry,5.2,7.1,oz/acre,,12,,Azoxystrobin,3,lb/gal,26.92333333,Benzovindiflupyr,0.15,lb/gal,19.33333333,,,,,,,,
United States,,Field Fungicide,100-1480,ELATUS FUNGICIDE,Syngenta Crop Protection,Furrow,Dry,0.34,0.5,oz/1000ft,,12,,Azoxystrobin,3,lb/gal,26.92333333,Benzovindiflupyr,0.15,lb/gal,19.33333333,,,,,,,,
United States,,Field Fungicide,100-1171,QUADRIS OPTI,Syngenta Crop Protection,Foliar,Liquid,1.6,1.6,pt/acre,5,12,14,Azoxystrobin,0.5,lb/gal,26.92333333,Chlorothalonil,5,lb/gal,37.41666667,,,,,,,,
United States,,Field Fungicide,100-1171,QUADRIS OPTI,Syngenta Crop Protection,Air,Liquid,1.6,1.6,pt/acre,5,12,14,Azoxystrobin,0.5,lb/gal,26.92333333,Chlorothalonil,5,lb/gal,37.41666667,,,,,,,,
United States,,Field Fungicide,100-1171,QUADRIS OPTI,Syngenta Crop Protection,Chemigation,Liquid,1.6,1.6,pt/acre,5,12,14,Azoxystrobin,0.5,lb/gal,26.92333333,Chlorothalonil,5,lb/gal,37.41666667,,,,,,,,
United States,,Field Fungicide,100-1313,AMISTAR TOP,Syngenta Crop Protection,Foliar,Liquid,8,14,fl oz/acre,7,12,14,Azoxystrobin,1.67,lb/gal,26.92333333,Difenoconazole,1.05,lb/gal,22,,,,,,,,
United States,,Field Fungicide,100-1313,QUADRIS TOP,Syngenta Crop Protection,Foliar,Liquid,8,14,fl oz/acre,7,12,14,Azoxystrobin,1.67,lb/gal,26.92333333,Difenoconazole,1.05,lb/gal,22,,,,,,,,
United States,,Field Fungicide,5905-651,TYCOON,"Helena Agri-Enterprises, LLC",Foliar,Liquid,6.3,11,fl oz/acre,7,12,14,Azoxystrobin,2.12,lb/gal,26.92333333,Difenoconazole,1.33,lb/gal,22,,,,,,,,
Canada,,Field Fungicide,30518,QUADRIS TOP,"Syngenta Canada, Inc.",Foliar,Liquid,566,1000,ml/ha,7,12,14,Azoxystrobin,200,g/L,26.92333333,Difenoconazole,125,g/L,22,,,,,,,,
Canada,,Field Fungicide,30518,QUADRIS TOP,"Syngenta Canada, Inc.",Air,Liquid,566,1000,ml/ha,7,12,14,Azoxystrobin,200,g/L,26.92333333,Difenoconazole,125,g/L,22,,,,,,,,
United States,,Field Fungicide,70506-329,DEXTER MAX,"UPL NA, INC.",Foliar,Dry,1.6,2.1,lb/acre,5,24,14,Azoxystrobin,5,%,26.92333333,Mancozeb,70,%,25.72,,,,,,,,
United States,,Field Fungicide - 32inch Spacing,100-1311,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,13.4,13.4,fl oz/acre,,0,,Azoxystrobin,2.08,lb/gal,26.92333333,Metalaxyl,4,lb/gal,13.16666667,,,,,,,,
United States,,Field Fungicide - 34inch Spacing,100-1311,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,12.6,12.6,fl oz/acre,,0,,Azoxystrobin,2.08,lb/gal,26.92333333,Metalaxyl,4,lb/gal,13.16666667,,,,,,,,
United States,,Field Fungicide - 36inch Spacing,100-1311,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,11.9,11.9,fl oz/acre,,0,,Azoxystrobin,2.08,lb/gal,26.92333333,Metalaxyl,4,lb/gal,13.16666667,,,,,,,,
United States,Idaho,Field Fungicide,89118-14,AZTERKNOT,Vive Crop Protection,Foliar,Liquid,7.4,24.3,fl oz/acre,7,4,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Wisconsin,Field Fungicide,89118-14,AZTERKNOT,Vive Crop Protection,Foliar,Liquid,7.4,24.3,fl oz/acre,7,4,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Idaho,Field Fungicide - 34inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,7.7,13.8,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Washington,Field Fungicide - 34inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,7.7,13.8,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Washington,Field Fungicide - 36inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,7.3,13.1,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Idaho,Field Fungicide - 36inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,7.3,13.1,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Idaho,Field Fungicide - 32inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,8.2,14.7,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Wisconsin,Field Fungicide - 34inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,7.7,13.8,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Wisconsin,Field Fungicide - 36inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,7.3,13.1,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Washington,Field Fungicide,89118-14,AZTERKNOT,Vive Crop Protection,Foliar,Liquid,7.4,24.3,fl oz/acre,7,4,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Wisconsin,Field Fungicide - 32inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,8.2,14.7,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,Washington,Field Fungicide - 32inch Spacing,89118-14,AZTERKNOT,Vive Crop Protection,Furrow,Liquid,8.2,14.7,fl oz/acre,7,,14,Azoxystrobin,1.74,lb/gal,26.92333333,Reynoutria sachalinensis,1,lb/gal,,,,,,,,,
United States,,Field Fungicide - 34inch Spacing,100-1098,AFRAME,Syngenta Crop Protection,Furrow,Liquid,6.15,12.3,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide - 36inch Spacing,100-1098,AFRAME,Syngenta Crop Protection,Furrow,Liquid,5.808,11.616,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide,100-1098,AFRAME,Syngenta Crop Protection,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Maine,Field Fungicide,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Washington,Field Fungicide,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Maine,Field Fungicide - 36inch Spacing,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide - 36inch Spacing,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Washington,Field Fungicide - 36inch Spacing,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Washington,Field Fungicide - 34inch Spacing,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Furrow,Liquid,6.1,12.2,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide - 34inch Spacing,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Furrow,Liquid,6.1,12.2,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Maine,Field Fungicide - 34inch Spacing,91234-74,ATTICUS ACADIA 2 SC,Atticus LLC,Furrow,Liquid,6.1,12.2,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
Canada,,Field Fungicide,32263,AZOSHY 250 SC,Sharda Cropchem Limited,Foliar,Liquid,500,800,ml/ha,7,12,1,Azoxystrobin,250,g/L,26.92333333,,,,,,,,,,,,
Canada,,Field Fungicide - 36inch Spacing,32263,AZOSHY 250 SC,Sharda Cropchem Limited,Furrow,Liquid,4,6,ml/100m,,12,1,Azoxystrobin,250,g/L,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide - 34inch Spacing,83529-64,A-ZOX 25SC,Sharda USA LLC,Furrow,Liquid,6.1,12.3,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide - 36inch Spacing,83529-64,A-ZOX 25SC,Sharda USA LLC,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide,83529-64,A-ZOX 25SC,Sharda USA LLC,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Washington,Field Fungicide - 34inch Spacing,83529-64,A-ZOX 25SC,Sharda USA LLC,Furrow,Liquid,6.1,12.3,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Washington,Field Fungicide - 36inch Spacing,83529-64,A-ZOX 25SC,Sharda USA LLC,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Washington,Field Fungicide,83529-64,A-ZOX 25SC,Sharda USA LLC,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Wisconsin,Field Fungicide - 34inch Spacing,83529-64,A-ZOX 25SC,Sharda USA LLC,Furrow,Liquid,6.1,12.3,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Wisconsin,Field Fungicide - 36inch Spacing,83529-64,A-ZOX 25SC,Sharda USA LLC,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Wisconsin,Field Fungicide,83529-64,A-ZOX 25SC,Sharda USA LLC,Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide - 34inch Spacing,42750-261,AZOXYSTAR,"Albaugh, LLC",Furrow,Liquid,6.15,12.3,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide - 36inch Spacing,42750-261,AZOXYSTAR,"Albaugh, LLC",Furrow,Liquid,5.808,11.616,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide,42750-261,AZOXYSTAR,"Albaugh, LLC",Foliar,Liquid,6,20,fl oz/acre,7,4,14,Azoxystrobin,2.08,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Foliar,Liquid,6,20,fl oz/acre,5,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide - 34inch Spacing,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Furrow,Liquid,6.1,12.3,fl oz/acre,,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Idaho,Field Fungicide - 36inch Spacing,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Maine,Field Fungicide - 34inch Spacing,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Furrow,Liquid,6.1,12.3,fl oz/acre,,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Maine,Field Fungicide - 36inch Spacing,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Maine,Field Fungicide,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Foliar,Liquid,6,20,fl oz/acre,5,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Wisconsin,Field Fungicide - 34inch Spacing,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Furrow,Liquid,6.1,12.3,fl oz/acre,,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Wisconsin,Field Fungicide - 36inch Spacing,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Furrow,Liquid,5.8,11.6,fl oz/acre,,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
United States,Wisconsin,Field Fungicide,85678-69,AZOXYSTROBIN 22.9 SC,Red Eagle,Foliar,Liquid,6,20,fl oz/acre,5,4,14,Azoxystrobin,2.1,lb/gal,26.92333333,,,,,,,,,,,,
Canada,,Field Fungicide - 36inch Spacing,34742,AZTEROID FC,"VIVE CROP PROTECTION, INC.",Furrow,Liquid,280.036,421.149,ml/ha,,12,,Azoxystrobin,390,g/L,26.92333333,,,,,,,,,,,,
Canada,,Field Fungicide - 34inch Spacing,34742,AZTEROID FC,"VIVE CROP PROTECTION, INC.",Furrow,Liquid,296.509,445.922,ml/ha,,12,,Azoxystrobin,390,g/L,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide,89118-11,AZTEROID FC 3.3,"Vive Crop Protection, Inc.",Foliar,Liquid,3.9,12.8,fl oz/acre,7,4,14,Azoxystrobin,3.3,lb/gal,26.92333333,,,,,,,,,,,,
United States,,Field Fungicide - 34inch Spacing,89118-11,AZTEROID FC 3.3,"Vive Crop Protection, Inc.",Furrow,Liquid,3.7,7.4,fl oz/acre,,4,14,Azoxystrobin,3.3,lb/gal,26.92333333,,,,,,,,,,,,
