region,product type,product name,producer name,regulator number,application method,label minimum rate,label maximum rate,label suggested rate,rate UOM,number of AI,AI1,AI1 eiq,AI1 group,AI1_concentration_%,AI2,AI2 eiq,AI2 group,AI2_concentration_%,AI3,AI3 eiq,AI3 group,AI3_concentration_%,AI4,AI4 eiq,AI4 group,AI4_concentration_%,eiq total,min days between applications,REI (hours),PHI (days)
USA,Field Insecticide,ABAMEX INSECTICIDE,Nufarm Americas Inc.,228-734,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,5.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,ABACUS INSECTICIDE,"Rotam North America, Inc.",83100-4,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,3.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,ABACUS V-6,"Rotam North America, Inc.",83100-59-83979,Foliar,2.56,5.12,15.12,fl oz/acre,1,Abamectin,108.1666667,,1.0,,,,,,,,,,,,,,,,
CA,Field Insecticide,MINECTO PRO,"Syngenta Canada, Inc.",33023,Foliar,370.0,670.0,1340.0,ml / ha,2,Abamectin,108.1666667,,4.6,Cyantraniliprole,,,7.7,,,,,,,,,,,,
USA,Field Insecticide,AGRI-MEK 0.15 EC MITICIDE/INSECTICIDE,Syngenta Crop Protection,100-898,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,10.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,AGRI-MEK SC MITICIDE/INSECTICIDE,Syngenta Crop Protection,100-1351,Foliar,1.75,3.5,10.25,fl oz/acre,1,Abamectin,108.1666667,,3.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,CLINCH ANT BAIT,Syngenta Crop Protection,100-894,Foliar,1.0,1.0,4.0,lb / ac,1,Abamectin,108.1666667,,5.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,EPI-MEK 0.15 EC MITICIDE/INSECTICIDE,Syngenta Crop Protection,100-1154,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,1.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,MINECTO PRO INSECTICIDE,Syngenta Crop Protection,100-1592,Foliar,5.5,10.0,20.0,fl oz/acre,2,Abamectin,108.1666667,,6.7,Cyantraniliprole,,,14.9,,,,,,,,,,,,
USA,Field Insecticide,AVERLAND FC,"Vive Crop Protection, Inc.",89118-10,Foliar,1.75,3.5,10.25,fl oz/acre,1,Abamectin,108.1666667,,9.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,WILLOWOOD ABAMECTIN 0.7SC,"WAGNER REGULATORY ASSOCIATES, INC.",87290-36,Foliar,1.75,3.5,10.25,fl oz/acre,1,Abamectin,108.1666667,,2.9,,,,,,,,,,,,,,,,
CA,Field Insecticide,CORMORAN,Adama Agricultural Solutions Canada LTD.,33353,Foliar,440.0,750.0,1680.0,ml / ha,2,Acetamiprid,37.66666667,,14.4,Novaluron,,,10.9,,,,,,,,,,,,
USA,Field Insecticide,CORMORAN,"MAKHTESHIM AGAN OF NORTH AMERICA, INC.",66222-264,Foliar,6.0,12.0,23.0,fl oz/acre,2,Acetamiprid,37.66666667,,1.3,Novaluron,,,6.2,,,,,,,,,,,,
CA,Field Insecticide,ASSAIL 30 SC,Nippon Soda Company,34484,Foliar,80.0,175.0,350.0,ml / ha,1,Acetamiprid,37.66666667,,11.1,,,,,,,,,,,,,,,,
CA,Field Insecticide,ASSAIL 70 WP,Nippon Soda Company,27128,Foliar,40.0,86.0,172.0,g / ha,1,Acetamiprid,37.66666667,,12.3,,,,,,,,,,,,,,,,
CA,Field Insecticide,ACETA 70 WP,Sharda Cropchem Limited,33298,Foliar,40.0,86.0,172.0,g / ha,1,Acetamiprid,37.66666667,,12.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,ASSAIL 30SG INSECTICIDE,"United Phosphorus, Inc.",8033-36-70506,Foliar,1.5,4.0,16.0,oz / ac,1,Acetamiprid,37.66666667,,2.0,,,,,,,,,,,,,,,,
CA,Field Insecticide,SEFINA INSECTICIDE,BASF Canada Inc.,33265,Foliar,0.2,1.0,2.5,l / ha,1,Afidopyropen,34.0,,10.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,SEFINA INSCALIS INSECTICIDE,BASF Corporation,7969-391,Foliar,3.0,14.0,28.0,fl oz/acre,1,Afidopyropen,34.0,,13.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,FASTAC CS,BASF Corporation,7969-364,Foliar,1.3,3.8,11.4,fl oz/acre,1,alpha-cypermethrin,63.0,,4.5,,,,,,,,,,,,,,,,
CA,Field Fungicide,ZAMPRO,BASF Canada Inc.,30321,Foliar,0.8,1.0,,l / ha,2,Ametoctradin,39.33333333,,12.2,Dimethomorph,,,11.1,,,,,,,,,,,,
USA,Field Fungicide,ZAMPRO FUNGICIDE,BASF Corporation,7969-302,Foliar,11.0,14.0,42.0,fl oz/acre,2,Ametoctradin,39.33333333,,8.2,Dimethomorph,,,11.7,,,,,,,,,,,,
USA,Field Insecticide,NEEMIX 4.5,Certis USA LLC,70051-9,Foliar,4.0,16.0,,fl oz/acre,1,Azadirachtin,38.66666667,,10.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,AZA-DIRECT,Gowan Company,71908-1-10163,Foliar,5.0,57.0,,fl oz/acre,1,Azadirachtin,38.66666667,,7.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,MAZOLIN FUNGICIDE,AgBiome Innovations,92647-2-92488,Furrow,6.15,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,4.5,,,,,,,,,,,,,,,,
USA,Storage Fungicide,MAZOLIN FUNGICIDE,AgBiome Innovations,92647-2-92488,Storage Treatment - Piler,6.15,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,4.2,,,,,,,,,,,,,,,,
CA,Field Fungicide,RAZOR 250 SC,ALBAUGH LLC,34408,Foliar,438.0,656.0,2400.0,ml / ha,1,Azoxystrobin,63.0,,7.4,,,,,,,,,,,,,,,,
CA,Field Fungicide,RAZOR 250 SC,ALBAUGH LLC,34408,Furrow,438.0,656.0,2400.0,ml / ha,1,Azoxystrobin,63.0,,5.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZOXYSTAR,"Albaugh, LLC",42750-261,Foliar,6.15,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,7.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZOXYSTAR,"Albaugh, LLC",42750-261,Furrow,6.15,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,5.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,ATTICUS ACADIA 2 SC,Atticus LLC,91234-74,Foliar,6.1,12.2,123.0,fl oz/acre,1,Azoxystrobin,63.0,,7.0,,,,,,,,,,,,,,,,
USA,Field Fungicide,ATTICUS ACADIA 2 SC,Atticus LLC,91234-74,Furrow,6.1,12.2,123.0,fl oz/acre,1,Azoxystrobin,63.0,,6.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,GCS AZOXY 2SC,"GENERIC CROP SCIENCE, LLC",94730-6,Foliar,6.534,13.068,123.0,fl oz/acre,1,Azoxystrobin,63.0,,12.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,GCS AZOXY 2SC,"GENERIC CROP SCIENCE, LLC",94730-6,Furrow,6.534,13.068,123.0,fl oz/acre,1,Azoxystrobin,63.0,,1.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,TYCOON,"Helena Agri-Enterprises, LLC",5905-651,Foliar,6.3,11.0,,fl oz/acre,2,Azoxystrobin,63.0,,8.8,Difenoconazole,,,13.3,,,,,,,,,,,,
USA,Field Fungicide,TREVO FUNGICIDE,"INNVICTIS CROP CARE, LLC",89167-39-89391,Foliar,6.1,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,13.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,TREVO FUNGICIDE,"INNVICTIS CROP CARE, LLC",89167-39-89391,Furrow,6.1,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,1.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,SATORI FUNGICIDE,Loveland Products Inc.,34704-1068,Foliar,6.0,20.0,120.0,fl oz/acre,1,Azoxystrobin,63.0,,8.8,,,,,,,,,,,,,,,,
USA,Field Fungicide,SATORI FUNGICIDE,Loveland Products Inc.,34704-1068,Furrow,6.0,20.0,120.0,fl oz/acre,1,Azoxystrobin,63.0,,13.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,SATORI FUNGICIDE,Loveland Products Inc.,34704-1068,Lay-by,6.0,20.0,120.0,fl oz/acre,1,Azoxystrobin,63.0,,13.2,,,,,,,,,,,,,,,,
USA,Storage Fungicide,SATORI FUNGICIDE,Loveland Products Inc.,34704-1068,Storage Treatment - Piler,6.0,20.0,120.0,fl oz/acre,1,Azoxystrobin,63.0,,13.3,,,,,,,,,,,,,,,,
CA,Field Fungicide,EMISSARIUS FUNGICIDE,PARIJAT INDUSTRIES (INDIA) PVT. LTD.,33729,Foliar,500.0,800.0,2.4,ml / ha,1,Azoxystrobin,63.0,,10.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZOXYSTROBIN 22.9 SC,Red Eagle,85678-69,Foliar,6.1,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,6.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZOXYSTROBIN 22.9 SC,Red Eagle,85678-69,Furrow,6.1,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,12.3,,,,,,,,,,,,,,,,
CA,Field Fungicide,AZOSHY 250 SC,Sharda Cropchem Limited,32263,Foliar,4.0,6.0,,ml / 100 m,1,Azoxystrobin,63.0,,2.7,,,,,,,,,,,,,,,,
CA,Field Fungicide,AZOSHY 250 SC,Sharda Cropchem Limited,32263,Furrow,4.0,6.0,,ml / 100 m,1,Azoxystrobin,63.0,,12.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,A-ZOX 25SC,Sharda USA LLC,83529-64,Foliar,6.1,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,8.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,A-ZOX 25SC,Sharda USA LLC,83529-64,Furrow,6.1,12.3,123.0,fl oz/acre,1,Azoxystrobin,63.0,,14.2,,,,,,,,,,,,,,,,
USA,Storage Fungicide,ARCHIVE,Syngenta,100-1308,Storage Treatment - Piler,0.6,1.0,1.0,fl oz/t,2,Azoxystrobin,63.0,,13.4,Fludioxonil,,,14.8,,,,,,,,,,,,
CA,Field Fungicide,ELATUS A FUNGICIDE,"Syngenta Canada, Inc.",31973,Furrow,400.0,656.0,,ml / ha,1,Azoxystrobin,63.0,,14.5,,,,,,,,,,,,,,,,
CA,Field Fungicide,QUADRIS FLOWABLE FUNGICIDE,"Syngenta Canada, Inc.",26153,Foliar,500.0,800.0,2400.0,ml / ha,1,Azoxystrobin,63.0,,12.0,,,,,,,,,,,,,,7.0,,
CA,Field Fungicide,QUADRIS FLOWABLE FUNGICIDE,"Syngenta Canada, Inc.",26153,Furrow,500.0,800.0,2400.0,ml / ha,1,Azoxystrobin,63.0,,13.4,,,,,,,,,,,,,,7.0,,
CA,Field Fungicide,QUADRIS TOP,"Syngenta Canada, Inc.",30518,Air,566.0,1000.0,,ml / ha,2,Azoxystrobin,63.0,,9.8,Difenoconazole,,,5.0,,,,,,,,,,7.0,,
CA,Field Fungicide,QUADRIS TOP,"Syngenta Canada, Inc.",30518,Foliar,566.0,1000.0,,ml / ha,2,Azoxystrobin,63.0,,7.8,Difenoconazole,,,4.1,,,,,,,,,,7.0,,
USA,Field Fungicide,AFRAME,Syngenta Crop Protection,100-1098,Foliar,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,9.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,AFRAME,Syngenta Crop Protection,100-1098,Furrow,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,1.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,AMISTAR TOP,Syngenta Crop Protection,100-1313,Foliar,8.0,14.0,55.3,fl oz/acre,2,Azoxystrobin,63.0,,10.1,Difenoconazole,,,6.0,,,,,,,,,,,,
USA,Seed Treatment,DYNASTY FUNGICIDE,Syngenta Crop Protection,100-1159,Seed Treatment - Liquid,0.1,3.75,,fl oz/cwt,1,Azoxystrobin,63.0,,3.0,,,,,,,,,,,,,,,,
USA,Field Fungicide,ELATUS FUNGICIDE,Syngenta Crop Protection,100-1480,Furrow,5.2,7.1,9.5,oz / ac,2,Azoxystrobin,63.0,,11.2,Benzovindiflupyr,,,10.2,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS FLOWABLE,Syngenta Crop Protection,100-1098,Chemigation,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,14.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS FLOWABLE,Syngenta Crop Protection,100-1098,Foliar,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,9.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS FLOWABLE,Syngenta Crop Protection,100-1098,Furrow,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,2.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS OPTI,Syngenta Crop Protection,100-1171,Air,1.6,1.6,,pt / ac,2,Azoxystrobin,63.0,,8.8,Chlorothalonil,,,11.2,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS OPTI,Syngenta Crop Protection,100-1171,Chemigation,1.6,1.6,,pt / ac,2,Azoxystrobin,63.0,,11.8,Chlorothalonil,,,3.1,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS OPTI,Syngenta Crop Protection,100-1171,Foliar,1.6,1.6,,pt / ac,2,Azoxystrobin,63.0,,3.7,Chlorothalonil,,,5.0,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,100-1311,Furrow,13.4,13.4,,fl oz/acre,2,Azoxystrobin,63.0,,7.4,Mefenoxam (soil),,,3.6,,,,,,,,,,,,
USA,Field Fungicide,QUADRIS TOP,Syngenta Crop Protection,100-1313,Foliar,8.0,14.0,55.3,fl oz/acre,2,Azoxystrobin,63.0,,13.3,Difenoconazole,,,5.8,,,,,,,,,,,,
USA,Field Fungicide,TETRABAN,"United Suppliers, Inc.",33270-32,Foliar,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,10.2,,,,,,,,,,,,,,,,
USA,Field Fungicide,TETRABAN,"United Suppliers, Inc.",33270-32,Furrow,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,11.4,,,,,,,,,,,,,,,,
USA,Storage Fungicide,TETRABAN,"United Suppliers, Inc.",33270-32,Storage Treatment - Piler,6.15,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,6.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,DEXTER MAX,"UPL NA, INC.",70506-329,Foliar,1.6,2.1,16.0,lb / ac,2,Azoxystrobin,63.0,,9.5,Mancozeb,,,4.1,,,,,,,,,,5.0,,
USA,Field Fungicide,DEXTER SC,"UPL NA, INC.",70506-351,Foliar,6.1,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,5.3,,,,,,,,,,,,,,7.0,,
USA,Field Fungicide,DEXTER SC,"UPL NA, INC.",70506-351,Furrow,6.1,12.3,120.0,fl oz/acre,1,Azoxystrobin,63.0,,12.5,,,,,,,,,,,,,,7.0,,
USA,Storage Fungicide,STARTUP AZOXY,"UPL NA, INC.",70506-343,Storage Treatment - Ventilation,0.31,1.5,,fl oz/cwt,1,Azoxystrobin,63.0,,5.1,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZTERKNOT,Vive Crop Protection,89118-14,Foliar,8.2,14.7,147.1,fl oz/acre,2,Azoxystrobin,63.0,,1.2,Reynoutria sachalinensis,,,4.3,,,,,,,,,,,,
USA,Field Fungicide,AZTERKNOT,Vive Crop Protection,89118-14,Furrow,8.2,14.7,147.1,fl oz/acre,2,Azoxystrobin,63.0,,14.8,Reynoutria sachalinensis,,,10.8,,,,,,,,,,,,
CA,Field Fungicide,AZTEROID FC,"VIVE CROP PROTECTION, INC.",34742,Furrow,296.509,445.922,,ml / ha,1,Azoxystrobin,63.0,,12.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZTEROID FC 3.3,"Vive Crop Protection, Inc.",89118-11,Foliar,3.7,7.4,77.6,fl oz/acre,1,Azoxystrobin,63.0,,13.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZTEROID FC 3.3,"Vive Crop Protection, Inc.",89118-11,Furrow,3.7,7.4,77.6,fl oz/acre,1,Azoxystrobin,63.0,,6.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZTEROID FC FUNGICIDE,"Vive Crop Protection, Inc.",89118-3,Foliar,7.26,14.52,155.0,fl oz/acre,1,Azoxystrobin,63.0,,2.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,AZTEROID FC FUNGICIDE,"Vive Crop Protection, Inc.",89118-3,Furrow,7.26,14.52,155.0,fl oz/acre,1,Azoxystrobin,63.0,,10.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,DOUBLE NICKEL BIOFUNGICIDE,Certis USA LLC,70051-107,Foliar,0.5,4.5,,pt / ac,1,Bacillus amyloliquefaciens strain D747,,,9.4,,,,,,,,,,,,,,10.0,,
USA,Biological,DOUBLE NICKLE 55,Certis USA LLC,70051-108,Lay-by,2.0,4.0,,oz / ac,1,Bacillus amyloliquefaciens strain D747,,,7.7,,,,,,,,,,,,,,,,
CA,Field Fungicide,DOUBLE NICKEL 55,Certis USA LLC (CAN),31888,Foliar,0.2,2.5,,kg / ha,1,Bacillus amyloliquefaciens strain D747,,,9.8,,,,,,,,,,,,,,3.0,,
CA,Field Fungicide,DOUBLE NICKEL 55,Certis USA LLC (CAN),31888,Furrow,0.2,2.5,,kg / ha,1,Bacillus amyloliquefaciens strain D747,,,3.0,,,,,,,,,,,,,,3.0,,
CA,Field Fungicide,DOUBLE NICKEL LC,Certis USA LLC (CAN),31887,Foliar,2.5,12.5,,l / ha,1,Bacillus amyloliquefaciens strain D747,,,11.8,,,,,,,,,,,,,,3.0,,
CA,Field Fungicide,DOUBLE NICKEL LC,Certis USA LLC (CAN),31887,Furrow,2.5,12.5,,l / ha,1,Bacillus amyloliquefaciens strain D747,,,6.7,,,,,,,,,,,,,,3.0,,
USA,Biological,Companion Maxx Biological Fungicide Wettable Powder,Plant Health Intermediate,94485-5,Foliar,2.0,2.0,,oz / cwt,1,Bacillus amyloliquefaciens strain ENV503,,,7.9,,,,,,,,,,,,,,,,
USA,Seed Treatment,Companion Maxx Biological Fungicide Wettable Powder,Plant Health Intermediate,94485-5,Seed Treatment - Powder,2.0,2.0,,oz / cwt,1,Bacillus amyloliquefaciens strain ENV503,,,11.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,BEXFOND,CORTEVA AGRISCIENCE LLC,69553-9-62719,Chemigation,7.0,14.0,,fl oz/acre,1,Bacillus amyloliquefaciens subspecies plantarum strain FZB42,,,2.5,,,,,,,,,,,,,,28.0,,
USA,Field Fungicide,BEXFOND,CORTEVA AGRISCIENCE LLC,69553-9-62719,Foliar,7.0,14.0,,fl oz/acre,1,Bacillus amyloliquefaciens subspecies plantarum strain FZB42,,,2.6,,,,,,,,,,,,,,28.0,,
USA,Field Fungicide,BEXFOND,CORTEVA AGRISCIENCE LLC,69553-9-62719,Furrow,7.0,14.0,,fl oz/acre,1,Bacillus amyloliquefaciens subspecies plantarum strain FZB42,,,4.5,,,,,,,,,,,,,,28.0,,
USA,Field Insecticide,LIFEGARD WG,Certis USA LLC,70051-119,Foliar,1.0,4.5,,oz / ac,1,Bacillus mycoides isolate J,,,1.9,,,,,,,,,,,,,,7.0,,
CA,Field Fungicide,LIFEGARD WG,Certis USA LLC (CAN),32526,Foliar,70.0,333.0,,g / ha,1,Bacillus mycoides isolate J,,,8.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,SERENADE ASO,"AgraQuest, Inc.",69592-12,Foliar,2.0,4.0,,qt / ac,1,Bacillus subtilis strain QST 713,,,14.8,,,,,,,,,,,,,,,,
USA,Field Fungicide,SERENADE ASO,"AgraQuest, Inc.",69592-12,Furrow,2.0,4.0,,qt / ac,1,Bacillus subtilis strain QST 713,,,7.8,,,,,,,,,,,,,,,,
USA,Field Fungicide,SERENADE OPTI,Bayer Crop Science LP,264-1160,Foliar,8.0,48.0,,oz / ac,1,Bacillus subtilis strain QST 713,,,6.7,,,,,,,,,,,,,,5.0,,
