CP ID,country,region,type,regulator number,name,registrant,application method,formulation,min rate,min rate uom,max rate,Max rate UOM,min days between applications,REI (h),PHI (d)
a1YOF000000bjuD2AQ,United States,,Biological,,Trianum WG Biological Fungicide,"Koppert Biological Systems, Inc.",Furrow,Dry,1,oz/acre,32,oz/acre,,4,
a1YOF000000cvoT2AQ,United States,,Biological,,TRIGGRR,"SAN Group Biotech USA, Inc.",Adjuvant,Dry,1,fl oz/acre,32,fl oz/acre,,,
a1YOF000000bjm92AA,United States,,Biological,,TURBO TEA,RegenAg Nation,Adjuvant,Liquid,1,gal/acre,4,gal/acre,,,
a1Y4W000004CxOJUA0,United States,,Biological,,VALLEY BIOS HF,Valley Agronomics LLC,Chemigation,Liquid,5,gal/acre,50,gal/acre,,,
a1Y4W000004CxOJUA0,United States,,Biological,,VALLEY BIOS HF,Valley Agronomics LLC,Drip,Liquid,5,gal/acre,50,gal/acre,,,
a1Y4W000004CxOJUA0,United States,,Biological,,VALLEY BIOS HF,Valley Agronomics LLC,Fertigation,Liquid,5,gal/acre,50,gal/acre,,,
a1Y4W000004CxOJUA0,United States,,Biological,,VALLEY BIOS HF,Valley Agronomics LLC,Foliar,Liquid,5,gal/acre,50,gal/acre,,,
a1Y4W000004CxOJUA0,United States,,Biological,,VALLEY BIOS HF,Valley Agronomics LLC,Furrow,Liquid,5,gal/acre,50,gal/acre,,,
a1YOF000000cBbx2AE,United States,,Biological,,VANSIL W-20,,Adjuvant,Dry,1,lb/acre,100,lb/acre,,,
a1YOF000000bjvp2AA,United States,,Biological,,VANSIL Wollastonite,"Vanderbuilt Minerals, LLC",Soil Incorporated,Dry,1,lb/acre,10,lb/acre,,,
a1YOF000000bjz32AA,United States,,Biological,,WORM GOLD,California Vermaculture,Adjuvant,Dry,1,gal/acre,99,gal/acre,,,
a1YOF000000OooT2AS,United States,,Field Fungicide,,Test,,Furrow,,,,,,,,
a1Y4W000002lTRhUAM,United States,,Desiccant,100-1061,REGLONE,Syngenta Crop Protection,Foliar,Liquid,1,pt/acre,2,pt/acre,,24,7
a1Y4W000002lTSDUA2,United States,,Field Fungicide,100-1098,AFRAME,Syngenta Crop Protection,Foliar,Liquid,6,fl oz/acre,20,fl oz/acre,,4,14
a1Y4W000002lTReUAM,United States,,Field Fungicide,100-1098,QUADRIS FLOWABLE,Syngenta Crop Protection,Chemigation,Liquid,6,fl oz/acre,20,fl oz/acre,,4,14
a1Y4W000002lTReUAM,United States,,Field Fungicide,100-1098,QUADRIS FLOWABLE,Syngenta Crop Protection,Foliar,Liquid,6,fl oz/acre,20,fl oz/acre,,4,14
a1Y4W000002lTSDUA2,United States,,Field Fungicide - 34inch Spacing,100-1098,AFRAME,Syngenta Crop Protection,Furrow,Liquid,6.15,fl oz/acre,12.3,fl oz/acre,,4,14
a1Y4W000002lTReUAM,United States,,Field Fungicide - 34inch Spacing,100-1098,QUADRIS FLOWABLE,Syngenta Crop Protection,Furrow,Liquid,6.15,fl oz/acre,12.3,fl oz/acre,,4,14
a1Y4W000002lTSDUA2,United States,,Field Fungicide - 36inch Spacing,100-1098,AFRAME,Syngenta Crop Protection,Furrow,Liquid,5.808,fl oz/acre,11.616,fl oz/acre,,4,14
a1Y4W000002lTReUAM,United States,,Field Fungicide - 36inch Spacing,100-1098,QUADRIS FLOWABLE,Syngenta Crop Protection,Furrow,Liquid,5.808,fl oz/acre,11.616,fl oz/acre,,4,14
a1Y4W000002lTWIUA2,United States,,Field Insecticide,100-1112,LAMCAP,Syngenta Crop Protection,Foliar,Liquid,1.92,fl oz/acre,3.84,fl oz/acre,,24,7
a1Y4W000002lTRvUAM,United States,,Field Insecticide,100-1112,WARRIOR,Syngenta Crop Protection,Foliar,Liquid,1.92,fl oz/acre,3.84,fl oz/acre,,24,7
a1Y4W000002lTYeUAM,United States,,Field Insecticide,100-1112-55467,PROVINCE INSECTICIDE,"TENKOZ, Inc.",Foliar,Liquid,1.92,fl oz/acre,3.84,fl oz/acre,,24,7
a1Y4W000002lTUxUAM,United States,,Field Insecticide,100-1154,EPI-MEK 0.15 EC MITICIDE/INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,8,fl oz/acre,16,fl oz/acre,,12,14
a1Y4W000002lTWiUAM,United States,,Seed Treatment,100-1158,MAXIM MZ,Syngenta Crop Protection,Seed Treatment - Powder,Dry,0.5,lb/cwt,0.5,lb/cwt,,24,
a1Y4W000002lTUjUAM,United States,,Seed Treatment,100-1159,DYNASTY FUNGICIDE,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.1,fl oz/cwt,3.75,fl oz/cwt,,4,
a1Y4W000002lTTDUA2,United States,,Field Herbicide - Post-emergence,100-1162,BOUNDARY 6.5 EC,Syngenta Crop Protection,Foliar,Liquid,1.5,pt/acre,2.2,pt/acre,,12,60
a1Y4W000002lTTDUA2,United States,,Field Herbicide - Pre-emergence,100-1162,BOUNDARY 6.5 EC,Syngenta Crop Protection,Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTYWUA2,,Idaho,Field Herbicide - Pre-emergence,100-1162-1381,PRESIDUAL HERBICIDE,"Winfield Solutions, LLC",Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTYWUA2,,Washington,Field Herbicide - Pre-emergence,100-1162-1381,PRESIDUAL HERBICIDE,"Winfield Solutions, LLC",Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTYWUA2,,Wisconsin,Field Herbicide - Pre-emergence,100-1162-1381,PRESIDUAL HERBICIDE,"Winfield Solutions, LLC",Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTWLUA2,,Idaho,Field Herbicide - Post-emergence,100-1162-55467,LEDGER HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.5,pt/acre,2.2,pt/acre,,12,60
a1Y4W000002lTWLUA2,,Idaho,Field Herbicide - Pre-emergence,100-1162-55467,LEDGER HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTWLUA2,,Washington,Field Herbicide - Post-emergence,100-1162-55467,LEDGER HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.5,pt/acre,2.2,pt/acre,,12,60
a1Y4W000002lTWLUA2,,Washington,Field Herbicide - Pre-emergence,100-1162-55467,LEDGER HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTWLUA2,,Wisconsin,Field Herbicide - Post-emergence,100-1162-55467,LEDGER HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.5,pt/acre,2.2,pt/acre,,12,60
a1Y4W000002lTWLUA2,,Wisconsin,Field Herbicide - Pre-emergence,100-1162-55467,LEDGER HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.5,pt/acre,2.9,pt/acre,,12,60
a1Y4W000002lTb1UAE,United States,,Field Herbicide - Pre-plant,100-1169,TRAXION HERBICIDE,Syngenta Crop Protection,Ground,Liquid,0.4,qt/acre,3.6,qt/acre,,12,
a1Y4W000002lTYoUAM,United States,,Field Fungicide,100-1171,QUADRIS OPTI,Syngenta Crop Protection,Air,Liquid,1.6,pt/acre,1.6,pt/acre,,12,14
a1Y4W000002lTYoUAM,United States,,Field Fungicide,100-1171,QUADRIS OPTI,Syngenta Crop Protection,Chemigation,Liquid,1.6,pt/acre,1.6,pt/acre,,12,14
a1Y4W000002lTYoUAM,United States,,Field Fungicide,100-1171,QUADRIS OPTI,Syngenta Crop Protection,Foliar,Liquid,1.6,pt/acre,1.6,pt/acre,,12,14
a1Y4W000002lTXsUAM,United States,,Field Fungicide,100-1202,ORONDIS GOLD B,Syngenta Crop Protection,Foliar,Liquid,3.2,fl oz/acre,3.2,fl oz/acre,,48,14
a1Y4W000002lTZLUA2,United States,,Field Fungicide,100-1202,RIDOMIL GOLD SL,Syngenta Crop Protection,Chemigation,Liquid,3.2,fl oz/acre,3.2,fl oz/acre,,48,14
a1Y4W000002lTZLUA2,United States,,Field Fungicide,100-1202,RIDOMIL GOLD SL,Syngenta Crop Protection,Foliar,Liquid,3.2,fl oz/acre,3.2,fl oz/acre,,48,14
a1Y4W000002lTZLUA2,United States,,Field Fungicide - 32inch Spacing,100-1202,RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,6.86,fl oz/acre,6.86,fl oz/acre,,48,14
a1Y4W000002lTXsUAM,United States,,Field Fungicide - 34inch Spacing,100-1202,ORONDIS GOLD B,Syngenta Crop Protection,Furrow,Liquid,6.5,fl oz/acre,6.5,fl oz/acre,,48,14
a1Y4W000002lTZLUA2,United States,,Field Fungicide - 34inch Spacing,100-1202,RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,6.5,fl oz/acre,6.5,fl oz/acre,,48,14
a1Y4W000002lTXsUAM,United States,,Field Fungicide - 36inch Spacing,100-1202,ORONDIS GOLD B,Syngenta Crop Protection,Furrow,Liquid,6.1,fl oz/acre,6.1,fl oz/acre,,48,14
a1Y4W000002lTZLUA2,United States,,Field Fungicide - 36inch Spacing,100-1202,RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,6.1,fl oz/acre,6.1,fl oz/acre,,48,14
a1Y4W000002lTZHUA2,United States,,Field Fungicide,100-1221,RIDOMIL GOLD BRAVO SC,Syngenta Crop Protection,Foliar,Liquid,2.5,pt/acre,2.5,pt/acre,,48,14
a1Y4W000002lTU6UAM,United States,,Seed Treatment,100-1248,CRUISER MAXX POTATO,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.19,fl oz/cwt,0.27,fl oz/cwt,,12,
a1Y4W000002lTRiUAM,,Maine,Field Fungicide,100-1254,REVUS,Syngenta Crop Protection,Foliar,Liquid,5.5,fl oz/acre,8,fl oz/acre,7,4,14
a1Y4W000002lTRZUA2,United States,,Field Fungicide,100-1254,ORONDIS ULTRA B,Syngenta Crop Protection,Foliar,Liquid,5.5,fl oz/acre,8,fl oz/acre,,4,14
a1Y4W000002lTatUAE,United States,,Field Fungicide,100-1262,TOP MP,Syngenta Crop Protection,Foliar,Liquid,4,fl oz/acre,7,fl oz/acre,,12,7
a1Y4W000002lTZKUA2,,Idaho,Field Fungicide,100-1269,RIDOMIL GOLD MZ WG,Syngenta Crop Protection,Foliar,Dry,2.5,lb/acre,2.5,lb/acre,,48,14
a1Y4W000002lTZKUA2,,Maine,Field Fungicide,100-1269,RIDOMIL GOLD MZ WG,Syngenta Crop Protection,Foliar,Dry,2.5,lb/acre,2.5,lb/acre,,48,3
a1Y4W000002lTZKUA2,,Washington,Field Fungicide,100-1269,RIDOMIL GOLD MZ WG,Syngenta Crop Protection,Foliar,Dry,2.5,lb/acre,2.5,lb/acre,,48,14
a1Y4W000002lTZKUA2,,Wisconsin,Field Fungicide,100-1269,RIDOMIL GOLD MZ WG,Syngenta Crop Protection,Foliar,Dry,2.5,lb/acre,2.5,lb/acre,,48,3
a1Y4W000002lTUuUAM,United States,,Field Insecticide,100-1276,ENDIGO ZC,Syngenta Crop Protection,Foliar,Liquid,3.5,fl oz/acre,4.5,fl oz/acre,,24,14
a1Y4W000002lTZEUA2,United States,,Field Fungicide,100-1278,REVUS TOP,Syngenta Crop Protection,Chemigation,Liquid,5.5,fl oz/acre,7,fl oz/acre,,12,14
a1Y4W000002lTZEUA2,United States,,Field Fungicide,100-1278,REVUS TOP,Syngenta Crop Protection,Foliar,Liquid,5.5,fl oz/acre,7,fl oz/acre,,12,14
a1Y4W000002lTYKUA2,United States,,Field Insecticide,100-1291,PLATINUM 75SG INSECTICIDE,Syngenta Crop Protection,Chemigation,Dry,1.66,oz/acre,2.67,oz/acre,,12,
a1Y4W000002lTYKUA2,United States,,Field Insecticide,100-1291,PLATINUM 75SG INSECTICIDE,Syngenta Crop Protection,Furrow,Dry,1.66,oz/acre,2.67,oz/acre,,12,
a1Y4W000002lTYKUA2,United States,,Field Insecticide,100-1291,PLATINUM 75SG INSECTICIDE,Syngenta Crop Protection,Ground,Dry,1.66,oz/acre,2.67,oz/acre,,12,
a1Y4W000004CxHIUA0,United States,,Field Insecticide,100-1295,LAMCAP II,Syngenta Crop Protection,Chemigation,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000004CxHIUA0,United States,,Field Insecticide,100-1295,LAMCAP II,Syngenta Crop Protection,Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lTbeUAE,United States,,Field Insecticide,100-1295,WARRIOR II,Syngenta Crop Protection,Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lTVnUAM,United States,,Field Insecticide,100-1295-1381,GRIZZLY TOO INSECTICIDE,"Winfield Solutions, LLC",Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lTYdUAM,United States,,Field Insecticide,100-1295-55467,PROVINCE II,"TENKOZ, Inc.",Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lge5UAA,,Idaho,Field Insecticide,100-1295-5905,LAMBDA T-2,Helena Chemical Company,Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lge5UAA,,Maine,Field Insecticide,100-1295-5905,LAMBDA T-2,Helena Chemical Company,Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lge5UAA,,Wisconsin,Field Insecticide,100-1295-5905,LAMBDA T-2,Helena Chemical Company,Foliar,Liquid,0.96,fl oz/acre,1.92,fl oz/acre,,24,7
a1Y4W000002lTYqUAM,United States,,Field Fungicide - 32inch Spacing,100-1311,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,13.4,fl oz/acre,13.4,fl oz/acre,,0,
a1Y4W000002lTYqUAM,United States,,Field Fungicide - 34inch Spacing,100-1311,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,12.6,fl oz/acre,12.6,fl oz/acre,,0,
a1Y4W000002lTYqUAM,United States,,Field Fungicide - 36inch Spacing,100-1311,QUADRIS RIDOMIL GOLD SL,Syngenta Crop Protection,Furrow,Liquid,11.9,fl oz/acre,11.9,fl oz/acre,,0,
a1Y4W000002lTSTUA2,United States,,Field Fungicide,100-1313,AMISTAR TOP,Syngenta Crop Protection,Foliar,Liquid,8,fl oz/acre,14,fl oz/acre,,12,14
a1Y4W000002lTRfUAM,United States,,Field Fungicide,100-1313,QUADRIS TOP,Syngenta Crop Protection,Foliar,Liquid,8,fl oz/acre,14,fl oz/acre,,12,14
a1Y4W000002lTbaUAE,United States,,Field Insecticide,100-1319,VOLIAM FLEXI,Syngenta Crop Protection,Foliar,Dry,4,oz/acre,4,oz/acre,,12,14
a1Y4W000002lTRuUAM,,Maine,Field Insecticide,100-1320,VOLIAM XPRESS,Syngenta Crop Protection,Foliar,Liquid,5,fl oz/acre,9,fl oz/acre,7,24,14
a1Y4W000002lTSJUA2,United States,,Field Insecticide,100-1351,AGRI-MEK SC MITICIDE/INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,1.75,fl oz/acre,3.5,fl oz/acre,,12,14
a1Y4W000002lTSzUAM,United States,,Field Insecticide,100-1402,BESIEGE INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,5,fl oz/acre,9,fl oz/acre,,24,14
a1Y4W000002lTRKUA2,United States,,Seed Treatment,100-1444,CRUISER MAXX POTATO EXTREME,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.31,fl oz/cwt,0.31,fl oz/cwt,,12,
a1Y4W000002lTUpUAM,United States,,Field Fungicide,100-1480,ELATUS FUNGICIDE,Syngenta Crop Protection,Furrow,Dry,0.34,oz/1000ft,0.5,oz/1000ft,,12,
a1Y4W000002lTU7UAM,,Idaho,Seed Treatment,100-1556,CRUISER MAXX VIBRANCE,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.5,fl oz/cwt,0.5,fl oz/cwt,,12,
a1Y4W000002lTU7UAM,,Maine,Seed Treatment,100-1556,CRUISER MAXX VIBRANCE,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.5,fl oz/cwt,0.5,fl oz/cwt,,12,
a1Y4W000002lTU8UAM,,Washington,Seed Treatment,100-1556,CRUISER MAXX VIBRANCE Potato,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.5,fl oz/cwt,0.5,fl oz/cwt,,12,
a1Y4W000002lTU7UAM,,Wisconsin,Seed Treatment,100-1556,CRUISER MAXX VIBRANCE,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.5,fl oz/cwt,0.5,fl oz/cwt,,12,
a1Y4W000002lTXrUAM,United States,,Field Fungicide - 36inch Spacing,100-1571,ORONDIS GOLD 200,Syngenta Crop Protection,Furrow,Liquid,2.4,fl oz/acre,9.6,fl oz/acre,10,4,5
a1Y4W000002lTXuUAM,United States,,Field Fungicide,100-1572,ORONDIS OPTI A,Syngenta Crop Protection,Foliar,Liquid,1.6,fl oz/acre,4.8,fl oz/acre,,4,5
a1Y4W000002lTRYUA2,United States,,Field Fungicide,100-1572,ORONDIS ULTRA A,Syngenta Crop Protection,Foliar,Liquid,1.6,fl oz/acre,4.8,fl oz/acre,,4,5
a1Y4W000002lTXtUAM,United States,,Field Fungicide,100-1591,ORONDIS OPTI,Syngenta Crop Protection,Foliar,Liquid,1.75,pt/acre,2.5,pt/acre,,12,7
a1Y4W000002lTX4UAM,United States,,Field Insecticide,100-1592,MINECTO PRO INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,5.5,fl oz/acre,10,fl oz/acre,,12,14
a1Y4W000002lTX6UAM,United States,,Field Fungicide,100-1603,MIRAVIS PRIME,Syngenta Crop Protection,Air,Liquid,6.8,fl oz/acre,11.4,fl oz/acre,,12,14
a1Y4W000002lTX6UAM,United States,,Field Fungicide,100-1603,MIRAVIS PRIME,Syngenta Crop Protection,Foliar,Liquid,6.8,fl oz/acre,11.4,fl oz/acre,,12,14
a1Y4W000002lsY2UAI,United States,,Field Fungicide,100-1612,ORONDIS ULTRA PREMIX,"SYNGENTA CROP PROTECTION, LLC",Foliar,Liquid,5.5,fl oz/acre,8,fl oz/acre,,4,14
a1Y4W000004CvzuUAC,United States,,Field Fungicide,100-1614,ORONDIS GOLD,Syngenta,Furrow,Liquid,13.9,fl oz/acre,48,fl oz/acre,,48,14
a1Y4W000002lTRtUAM,United States,,Seed Treatment,100-1628,VIBRANCE ULTRA POTATO,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.5,fl oz/cwt,0.5,fl oz/cwt,,,
a1YOF0000000yvR2AQ,United States,,Field Herbicide - Pre-emergence,100-1652,GRAMOXONE SL 3.0,Syngenta,Broadcast,Liquid,0.7,pt/acre,1.3,pt/acre,,,
a1YOF0000000yvR2AQ,United States,,Field Herbicide - Pre-plant,100-1652,GRAMOXONE SL 3.0,Syngenta,Broadcast,Liquid,0.7,pt/acre,1.3,pt/acre,,,
a1Y4W000002lTWhUAM,United States,,Seed Treatment,100-758,MAXIM 4FS,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.08,fl oz/cwt,0.08,fl oz/cwt,,12,
a1Y4W000002lTZJUA2,United States,,Field Fungicide,100-803,RIDOMIL GOLD MZ,Syngenta Crop Protection,Foliar,Dry,2.5,lb/acre,2.5,lb/acre,,48,14
a1Y4W000002lTZMUA2,United States,,Field Fungicide,100-804,RIDOMIL GOLD/COPPER,Syngenta Crop Protection,Foliar,Dry,2,lb/acre,2,lb/acre,,48,14
a1YOF000000RITt2AO,United States,,Field Herbicide - Post-emergence,100-816,MEDAL EC,"SYNGENTA CROP PROTECTION, LLC",Ground,Liquid,,pt/acre,1.67,pt/acre,,24,60
a1YOF000000RITt2AO,United States,,Field Herbicide - Post-emergence,100-816,MEDAL EC,"SYNGENTA CROP PROTECTION, LLC",Lay-by,Liquid,,pt/acre,1.67,pt/acre,,24,40
a1Y4W000002lTROUA2,United States,,Field Herbicide - Pre-emergence,100-816,DUAL MAGNUM,Syngenta Crop Protection,Ground,Liquid,1,pt/acre,2.6,pt/acre,,24,40
a1YOF000000RITt2AO,United States,,Field Herbicide - Pre-emergence,100-816,MEDAL EC,"SYNGENTA CROP PROTECTION, LLC",Ground,Liquid,1,pt/acre,2.6,pt/acre,,24,60
a1YOF000000RITt2AO,United States,,Field Herbicide - Pre-emergence,100-816,MEDAL EC,"SYNGENTA CROP PROTECTION, LLC",Soil Incorporated,Liquid,1,pt/acre,2,pt/acre,,24,60
a1YOF000000RITt2AO,United States,,Field Herbicide - Pre-plant,100-816,MEDAL EC,"SYNGENTA CROP PROTECTION, LLC",Soil Incorporated,Liquid,1,pt/acre,2,pt/acre,,24,60
a1Y4W000002lTTKUA2,United States,,Field Herbicide - Pre-emergence,100-816-55467,BRAWL,"TENKOZ, Inc.",Ground,Liquid,1,pt/acre,2.6,pt/acre,,24,40
a1Y4W000002lTUeUAM,United States,,Field Herbicide - Pre-emergence,100-818,DUAL II MAGNUM,Syngenta Crop Protection,Ground,Liquid,1,pt/acre,2.6,pt/acre,,24,40
a1Y4W000002lTTLUA2,United States,,Field Herbicide - Pre-emergence,100-818-55467,BRAWL II,"TENKOZ, Inc.",Ground,Liquid,1,pt/acre,2.6,pt/acre,,24,40
a1Y4W000002lTWjUAM,United States,,Seed Treatment,100-821,MAXIM POTATO SEED PROTECTANT,Syngenta Crop Protection,Seed Treatment - Powder,Dry,0.5,lb/cwt,0.5,lb/cwt,,12,
a1Y4W000002lTTqUAM,United States,,Field Insecticide,100-894,CLINCH ANT BAIT,Syngenta Crop Protection,Foliar,Dry,1,lb/acre,1,lb/acre,,12,0
a1Y4W000002lTSIUA2,United States,,Field Insecticide,100-898,AGRI-MEK 0.15 EC MITICIDE/INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,8,fl oz/acre,16,fl oz/acre,,12,14
a1Y4W000002lTUfUAM,United States,,Field Herbicide - Pre-emergence,100-910,DUAL IIG MAGNUM,Syngenta Crop Protection,Ground,Dry,6,lb/acre,12,lb/acre,,24,60
a1Y4W000002lTVJUA2,United States,,Field Insecticide,100-912,FULFILL,Syngenta Crop Protection,Foliar,Dry,2.75,oz/acre,5.5,oz/acre,,12,14
a1Y4W000002lTS6UAM,United States,,Field Insecticide,100-938,ACTARA,Syngenta Crop Protection,Foliar,Dry,1.5,oz/acre,3,oz/acre,,12,14
a1Y4W000002lTYJUA2,United States,,Field Insecticide,100-939,PLATINUM,Syngenta Crop Protection,Furrow,Liquid,5,fl oz/acre,8,fl oz/acre,,12,
a1Y4W000002lTU5UAM,United States,,Seed Treatment,100-941,CRUISER 5FS,Syngenta Crop Protection,Seed Treatment - Liquid,Liquid,0.11,fl oz/cwt,0.16,fl oz/cwt,,12,
a1Y4W000002lge2UAA,United States,,Field Insecticide,10163-169,IMIDAN 70-W,Gowan Company,Foliar,Dry,1.33,lb/acre,1.33,lb/acre,,120,7
a1Y4W000002lTTCUA2,United States,,Field Fungicide,10163-189,BOTRAN 75-W FUNGICIDE,Gowan Company,Foliar,Dry,2,lb/acre,6,lb/acre,,12,20
