CP ID,Name,Concentration_Amount__c,UOM Master.Short_Name__c,Formulation__c
a1Y4W000002lTSJUA2,Abamectin,0.7,lb/gal,Liquid
a1Y4W000004CyRAUA0,Abamectin,0.7,lb/gal,Liquid
a1YOF000000g54v2AA,Abamectin,0.7,lb/gal,Liquid
a1Y4W000002lTbtUAE,Zoxamide,0.71,lb/gal,Liquid
a1Y4W000002lTU6UAM,Fludioxonil,0.73,lb/gal,Liquid
a1Y4W000002lTSjUAM,Abamectin,0.75,lb/gal,Liquid
a1Y4W000002lTSeUAM,Bifenthrin,0.76,lb/gal,Liquid
a1Y4W000002lTTyUAM,Copper,0.78,lb/gal,Liquid
a1Y4W000002ltvAUAQ,Zeta-cypermethrin,0.8,lb/gal,Liquid
a1YOF0000002sif2AA,Zeta-cypermethrin,0.8,lb/gal,Liquid
a1Y4W000002lTRRUA2,Cyantraniliprole,0.83,lb/gal,Liquid
a1Y4W000002lTRYUA2,Oxathiapiprolin,0.83,lb/gal,Liquid
a1Y4W000002lTUjUAM,Azoxystrobin,0.83,lb/gal,Liquid
a1Y4W000002lTUsUAM,Penflufen,0.83,lb/gal,Liquid
a1Y4W000002lTVAUA2,alpha-cypermethrin,0.83,lb/gal,Liquid
a1Y4W000002lTXuUAM,Oxathiapiprolin,0.83,lb/gal,Liquid
a1Y4W000002lTZNUA2,Novaluron,0.83,lb/gal,Liquid
a1YOF000000R97F2AS,Mefentrifluconazole,0.833,lb/gal,Liquid
a1Y4W000002lTRuUAM,Chlorantraniliprole,0.835,lb/gal,Liquid
a1Y4W000002lTSzUAM,Chlorantraniliprole,0.835,lb/gal,Liquid
a1Y4W000002lTRJUA2,Novaluron,0.84,lb/gal,Liquid
a1Y4W000004CxHXUA0,3-Indolebutyric acid,0.85,%,Liquid
a1Y4W000002lTUuUAM,Lambda-cyhalothrin,0.88,lb/gal,Liquid
a1Y4W000004CvzuUAC,Mefenoxam,0.88,lb/gal,Liquid
a1Y4W000004Cz4HUAS,Penflufen,0.88,lb/gal,Liquid
a1Y4W000002ls7BUAQ,Chlorantraniliprole,0.89,lb/gal,Liquid
a1Y4W000002lt1wUAA,Metribuzin,0.91,lb/gal,Liquid
a1YOF0000002SeX2AU,Difenoconazole,0.92,lb/gal,Liquid
a1Y4W000002lTVrUAM,Bifenthrin,0.93,lb/gal,Liquid
a1YOF000000SalJ2AS,Bifenthrin,0.93,lb/gal,Liquid
a1Y4W000002lU40UAE,Polyacrylamide,0.95,%,Liquid
a1Y4W000002lTafUAE,Clethodim,0.97,lb/gal,Liquid
a1Y4W000002lTVyUAM,Clethodim,0.97,lb/gal,Liquid
a1Y4W000002lTZpUAM,Clethodim,0.97,lb/gal,Liquid
a1Y4W000002lge6UAA,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lgeGUAQ,Hexythiazox,1,lb/gal,Liquid
a1Y4W000002lgeHUAQ,Hexythiazox,1,lb/gal,Liquid
a1Y4W000002lgeTUAQ,Hexythiazox,1,lb/gal,Liquid
a1Y4W000002lgYbUAI,polyoxyethylene-alpha-methyl-alpha-propylether,1,%,Liquid
a1Y4W000002lgYmUAI,polyoxyethylene-alpha-methyl-alpha-propylether,1,%,Liquid
a1Y4W000002lTa0UAE,Imidacloprid,1,lb/gal,Liquid
a1Y4W000002lTakUAE,Bifenthrin,1,lb/gal,Liquid
a1Y4W000002lTakUAE,Imidacloprid,1,lb/gal,Liquid
a1Y4W000002lTbkUAE,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTblUAE,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTRvUAM,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTSuUAM,Cyfluthrin,1,lb/gal,Liquid
a1Y4W000002lTTNUA2,Bifenthrin,1,lb/gal,Liquid
a1Y4W000002lTTNUA2,Imidacloprid,1,lb/gal,Liquid
a1Y4W000002lTUtUAM,Harpin protein,1,%,Dry
a1Y4W000002ltvtUAA,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTWFUA2,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTWGUA2,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTWHUA2,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTWIUA2,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTWPUA2,Cyfluthrin,1,lb/gal,Liquid
a1Y4W000002lTXmUAM,Hexythiazox,1,lb/gal,Liquid
a1Y4W000002lTXXUA2,Copper hydroxide,1,lb/gal,Liquid
a1Y4W000002lTYeUAM,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000002lTYsUAM,Spinetoram,1,lb/gal,Liquid
a1Y4W000002lTZzUAM,Lambda-cyhalothrin,1,lb/gal,Liquid
a1Y4W000003eUGaUAM,Beta-cyfluthrin,1,lb/gal,Liquid
a1Y4W000004CutVUAS,Reynoutria sachalinensis,1,lb/gal,Liquid
a1Y4W000004CwtuUAC,Lambda-cyhalothrin,1,lb/gal,Liquid
a1YOF000000alej2AA,Lambda-cyhalothrin,1,lb/gal,Liquid
a1YOF000000bjkX2AQ,Clove Oil,1,%,Liquid
a1YOF000000bjxR2AQ,Beauveria bassiana,1,%,Dry
a1YOF000000cvoT2AQ,Potash,1,%,Dry
a1YOF000000OooT2AS,Mefenoxam (soil),1,lb/gal,
a1YOF000000WHov2AG,Beauveria bassiana,1,%,Liquid
a1YOF000000XQuz2AG,Spearmint oil,1,g/L,Liquid
a1YOF000000ZNEf2AO,Beta-cyfluthrin,1,lb/gal,Liquid
a1Y4W000002lTRKUA2,Difenoconazole,1.03,lb/gal,Liquid
a1Y4W000002lTbOUAU,Hydrogen peroxide,1.04,lb/gal,Liquid
a1Y4W000002lTWUUA2,Fluopyram,1.04,lb/gal,Liquid
a1Y4W000002lTRfUAM,Difenoconazole,1.05,lb/gal,Liquid
a1Y4W000002lTSTUA2,Difenoconazole,1.05,lb/gal,Liquid
a1Y4W000002lTbMUAU,Metribuzin,1.1,lb/gal,Liquid
a1Y4W000002lTWOUA2,Imidacloprid,1.1,lb/gal,Liquid
a1Y4W000002lTX9UAM,Metribuzin,1.116,lb/gal,Liquid
a1YOF0000005zFl2AI,Sulfentrazone,1.12,lb/gal,Liquid
a1Y4W000002lTX4UAM,Cyantraniliprole,1.13,lb/gal,Liquid
a1Y4W000002lTUuUAM,Thiamethoxam (foliar),1.18,lb/gal,Liquid
a1Y4W000002lTSEUA2,Sodium hypochlorite,1.2,lb/gal,Liquid
a1Y4W000002lgdsUAA,Metribuzin,1.25,lb/gal,Liquid
a1Y4W000002lTadUAE,Metribuzin,1.25,lb/gal,Liquid
a1Y4W000002lTTDUA2,Metribuzin,1.25,lb/gal,Liquid
a1Y4W000002lTUAUA2,Cyhalothrin,1.25,lb/gal,Liquid
a1Y4W000002lTWLUA2,Metribuzin,1.25,lb/gal,Liquid
a1Y4W000002lTX6UAM,Pydiflumetofen,1.25,lb/gal,Liquid
a1Y4W000002lTYWUA2,Metribuzin,1.25,lb/gal,Liquid
a1YOF000000M61x2AC,Indoxacarb,1.25,lb/gal,Liquid
a1YOF000000OpJ72AK,Trifloxystrobin,1.27,lb/gal,Liquid
a1Y4W000002lTRtUAM,Mandipropamid,1.28,lb/gal,Liquid
a1Y4W000002lTU7UAM,Thiamethoxam,1.28,lb/gal,Liquid
a1Y4W000002lTU8UAM,Thiamethoxam,1.28,lb/gal,Liquid
a1Y4W000002lTaxUAE,Tolfenpyrad,1.29,lb/gal,Liquid
a1Y4W000002lTkjUAE,Bacillus subtilis strain QST 713,1.3,%,Liquid
a1Y4W000002lTekUAE,Bacillus subtilis strain QST 713,1.31,%,Dry
a1Y4W000002ls7BUAQ,Bifenthrin,1.33,lb/gal,Liquid
a1YOF000000S8HB2A0,Difenoconazole,1.33,lb/gal,Liquid
a1Y4W000002lgfFUAQ,Bacillus subtilis strain QST 713,1.34,%,Liquid
a1YOF000000if2f2AA,Bacillus subtillis strain QST 713,1.34,%,Liquid
a1Y4W000002lTYZUA2,Fluxapyroxad,1.39,lb/gal,Liquid
a1Y4W000002lTbOUAU,Peroxyacetic acid,1.41,lb/gal,Liquid
a1Y4W000004Cx60UAC,Fluoxastrobin,1.42,lb/gal,Liquid
a1YOF000000OpJ72AK,Prothioconazole,1.49,lb/gal,Liquid
a1Y4W000002lTTVUA2,Bifenthrin,1.5,lb/gal,Liquid
a1Y4W000002lTUDUA2,Deltamethrin,1.5,lb/gal,Liquid
a1Y4W000002lTXAUA2,Flutolanil,1.5,%,Dry
a1Y4W000002lTYMUA2,Sethoxydim,1.5,lb/gal,Liquid
a1Y4W000002lTZYUA2,Maleic hydrazide,1.5,lb/gal,Liquid
a1Y4W000002lU3IUAU,Metaldehyde,1.5,%,Dry
a1Y4W000002lU3MUAU,Metaldehyde,1.5,%,Dry
a1Y4W000002lU3OUAU,Metaldehyde,1.5,%,Dry
a1Y4W000002lU4EUAU,Metaldehyde,1.5,%,Dry
a1Y4W000002lU6lUAE,Metaldehyde,1.5,g/L,Dry
a1Y4W000002lU6wUAE,Metaldehyde,1.5,%,Dry
a1Y4W000004CwmZUAS,Bifenthrin,1.5,lb/gal,Liquid
a1YOF000000fOb32AE,Bifenthrin,1.5,lb/gal,Dry
a1YOF000000gAPZ2A2,Bifenthrin,1.5,lb/gal,Liquid
a1YOF000000OooT2AS,Mefenoxam,1.54,lb/gal,
a1Y4W000002lTWOUA2,Cyfluthrin,1.6,lb/gal,Liquid
a1Y4W000002lTYcUAM,Imidacloprid,1.6,lb/gal,Liquid
a1Y4W000002lTZyUAM,Imidacloprid,1.6,lb/gal,Liquid
a1Y4W000002lgeZUAQ,Difenoconazole,1.67,lb/gal,Liquid
a1Y4W000002lTbWUAU,Mefentrifluconazole,1.67,lb/gal,Liquid
a1Y4W000002lTbWUAU,Pyraclostrobin,1.67,lb/gal,Liquid
a1Y4W000002ltFRUAY,Penthiopyrad,1.67,lb/gal,Liquid
a1Y4W000002lTRfUAM,Azoxystrobin,1.67,lb/gal,Liquid
a1Y4W000002lTRnUAM,Flupyradifurone,1.67,lb/gal,Liquid
a1Y4W000002lTRsUAM,Penthiopyrad,1.67,lb/gal,Liquid
a1Y4W000002lTSTUA2,Azoxystrobin,1.67,lb/gal,Liquid
a1Y4W000002lTTzUAM,Chlorantraniliprole,1.67,lb/gal,Liquid
a1Y4W000002lTXrUAM,Oxathiapiprolin,1.67,lb/gal,Liquid
a1Y4W000004Cz4CUAS,Fluopyram,1.67,lb/gal,Liquid
a1Y4W000004Cz4CUAS,Prothioconazole,1.67,lb/gal,Liquid
a1YOF000000g8Qz2AI,Cyantraniliprole,1.67,lb/gal,Liquid
a1YOF000000R97F2AS,Boscalid,1.67,lb/gal,Liquid
a1Y4W000002ls4WUAQ,Imidacloprid,1.7,lb/gal,Liquid
a1Y4W000004CutVUAS,Azoxystrobin,1.74,lb/gal,Liquid
a1Y4W000002lTT1UAM,Bifenthrin,1.75,lb/gal,Liquid
a1Y4W000002lU6xUAE,Benthiavalicarb-isopropyl,1.75,%,Dry
a1YOF0000002IYj2AM,Benthiavalicarb-isopropyl,1.75,%,Liquid
a1YOF000000hOv72AE,Benthiavalicarb-isopropyl,1.75,%,Dry
a1Y4W000002lTYTUA2,Pyrifluquinazon,1.87,lb/gal,Liquid
a1Y4W000002lTbqUAE,Dimethomorph,1.88,lb/gal,Liquid
a1Y4W000002lgd1UAA,Carfentrazone,1.9,lb/gal,Liquid
a1Y4W000002lTXxUAM,Phosphorous Acid,1.93,lb/gal,Liquid
a1Y4W000002lriSUAQ,Azoxystrobin,1.99,lb/gal,Liquid
a1Y4W000002lriSUAQ,Fludioxonil,1.99,lb/gal,Liquid
a1Y4W000002lgaCUAQ,Phosphate,2,%,Liquid
a1Y4W000002lgchUAA,Benzethonium Chloride,2,%,Liquid
a1Y4W000002lgd4UAA,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lgf0UAA,Mefenoxam,2,lb/gal,Liquid
a1Y4W000002lgXQUAY,Penflufen,2,%,Dry
a1Y4W000002lTa0UAE,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTa2UAE,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTa8UAE,Spinosad,2,lb/gal,Liquid
a1Y4W000002lTasUAE,Cyfluthrin,2,lb/gal,Liquid
a1Y4W000002lTbbUAE,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTbgUAE,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTbPUAU,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTbRUAU,Mefenoxam,2,lb/gal,Liquid
a1Y4W000002lTbvUAE,Zinc Phosphide,2,%,Dry
a1Y4W000002lTbVUAU,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTbXUAU,Diquat,2,lb/gal,Liquid
a1Y4W000002ltOyUAI,Cyfluthrin,2,lb/gal,Liquid
a1Y4W000002lTRhUAM,Diquat,2,lb/gal,Liquid
a1Y4W000002lTRpUAM,Spinosad,2,lb/gal,Liquid
a1Y4W000002lTS9UAM,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTSaUAM,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTSBUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTSLUA2,Carfentrazone,2,lb/gal,Liquid
a1Y4W000002lTSRUA2,Permethrin,2,lb/gal,Liquid
a1Y4W000002lTStUAM,Cyfluthrin,2,lb/gal,Liquid
a1Y4W000002lTSUUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTT0UAM,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTT2UAM,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTT3UAM,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTTMUA2,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTTpUAM,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTTUUA2,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTU2UAM,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTUwUAM,Spinosad,2,lb/gal,Liquid
a1Y4W000002lTUXUA2,Diquat,2,lb/gal,Liquid
a1Y4W000002lTUZUA2,Diquat,2,lb/gal,Liquid
a1Y4W000002lTV9UAM,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTVgUAM,Oxyfluoren,2,lb/gal,Liquid
a1Y4W000002lTVIUA2,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTVNUA2,Oxyfluoren,2,lb/gal,Liquid
a1Y4W000002lTVxUAM,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTWPUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTWpUAM,Metalaxyl,2,lb/gal,Liquid
a1Y4W000002lTWsUAM,Metalaxyl,2,lb/gal,Liquid
a1Y4W000002lTWVUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTXcUAM,Spiromesifen,2,lb/gal,Liquid
a1Y4W000002lTXHUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTXiUAM,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTXJUA2,Spirotetramat,2,lb/gal,Liquid
a1Y4W000002lTXjUAM,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTXYUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTXZUA2,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTYJUA2,Thiamethoxam,2,lb/gal,Liquid
a1Y4W000002lTYjUAM,Zinc Phosphide,2,%,Dry
a1Y4W000002lTZCUA2,Bifenthrin,2,lb/gal,Liquid
a1Y4W000002lTZlUAM,Clethodim,2,lb/gal,Liquid
a1Y4W000002lTZoUAM,Clethodim,2,lb/gal,Liquid
a1Y4W000002luDYUAY,Clethodim,2,lb/gal,Liquid
a1Y4W000004CumKUAS,Clethodim,2,lb/gal,Liquid
a1Y4W000004CvMCUA0,Clethodim,2,lb/gal,Liquid
a1YOF0000007lVF2AY,1-methylcyclopropene,2,%,Dry
a1YOF000000g53J2AQ,Bifenthrin,2,lb/gal,Liquid
a1YOF000000g6iX2AQ,Chitosan,2,%,Liquid
a1YOF000000h5xJ2AQ,1-methylcyclopropene,2,%,Dry
a1YOF000000Qeuf2AC,Diquat,2,lb/gal,Liquid
a1YOF000000WBmj2AG,Diquat,2,lb/gal,Liquid
a1YOF000000ZNEf2AO,Imidacloprid,2,lb/gal,Liquid
a1Y4W000002lTW2UAM,Hydrogen peroxide,2.05,lb/gal,Liquid
a1Y4W000002lge5UAA,Lambda-cyhalothrin,2.08,lb/gal,Liquid
a1Y4W000002lsXiUAI,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lsY2UAI,Mandipropamid,2.08,lb/gal,Liquid
a1Y4W000002lTaoUAE,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTatUAE,Difenoconazole,2.08,lb/gal,Liquid
a1Y4W000002lTbeUAE,Lambda-cyhalothrin,2.08,lb/gal,Liquid
a1Y4W000002lTReUAM,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTRiUAM,Mandipropamid,2.08,lb/gal,Liquid
a1Y4W000002lTRKUA2,Thiamethoxam (seed),2.08,lb/gal,Liquid
a1Y4W000002lTRZUA2,Mandipropamid,2.08,lb/gal,Liquid
a1Y4W000002lTSDUA2,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTSmUAM,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTSnUAM,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002ltu2UAA,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTVnUAM,Lambda-cyhalothrin,2.08,lb/gal,Liquid
a1Y4W000002lTWkUAM,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTYdUAM,Lambda-cyhalothrin,2.08,lb/gal,Liquid
a1Y4W000002lTYqUAM,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTZEUA2,Difenoconazole,2.08,lb/gal,Liquid
a1Y4W000002lTZEUA2,Mandipropamid,2.08,lb/gal,Liquid
a1Y4W000002lTZeUAM,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000004CwtpUAC,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000004Cx2XUAS,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000004CxHIUA0,Lambda-cyhalothrin,2.08,lb/gal,Liquid
a1Y4W000004CxHmUAK,Pyraclostrobin,2.08,lb/gal,Liquid
a1Y4W000004Cz4HUAS,Fluopyram,2.08,lb/gal,Liquid
a1YOF000000BbM12AK,Azoxystrobin,2.08,lb/gal,Liquid
a1Y4W000002lTVqUAM,Pyraclostrobin,2.09,lb/gal,Liquid
a1Y4W000002lTX6UAM,Fludioxonil,2.09,lb/gal,Liquid
a1Y4W000002lgd7UAA,Azoxystrobin,2.1,lb/gal,Liquid
a1Y4W000002lgavUAA,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgbeUAA,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgbVUAQ,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgW8UAI,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgX2UAI,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgXNUAY,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgZbUAI,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgZLUAY,Ferric phosphate,2.11,%,Dry
a1Y4W000002lgZvUAI,Ferric phosphate,2.11,%,Dry
a1Y4W000002lU4DUAU,Ferric phosphate,2.11,%,Dry
a1Y4W000002lU4wUAE,Ferric phosphate,2.11,%,Dry
a1Y4W000002lU4xUAE,Ferric phosphate,2.11,%,Dry
a1Y4W000002lU5RUAU,Ferric phosphate,2.11,%,Dry
a1Y4W000002lU6SUAU,Ferric phosphate,2.11,%,Dry
